icsd_ids,formula,material_id,nelements,nsites
395,Rb1Nb1B2O6,mp-556808,4,100
396,Hf3Cu8,mp-7353,2,44
262541,Sr3B6H2O13,mp-1201690,4,48
262542,Ba3B6H2O13,mp-1199009,4,48
401,Na1Nd1P4O12,mp-12226,4,72
402,Ca1Mn2Ge2,mp-19824,3,5
403,Sr1Mn2Ge2,mp-21118,3,5
404,Ba1Mn2Ge2,mp-22412,3,5
405,Ba1Mn2Sn2,mp-22679,3,5
406,Ca1Co2Ge2,mp-4259,3,5
262551,Eu1Al1,mp-1079783,2,4
655768,Na8Sn1Sb4,mp-3138,3,26
407,Sr1Co2Ge2,mp-7361,3,5
410,Sr1Cu2Ge2,mp-3241,3,5
262555,Cs2U1Pt3Se6,mp-1190813,4,24
412,Ca1Si2Au2,mp-7364,3,5
413,Sr1Si2Au2,mp-7365,3,5
414,Sr1Ag2Sn2,mp-7366,3,5
411,Sr1Zn2Ge2,mp-7363,3,5
262560,Rb2U1Pt3S6,mp-1191149,4,24
262561,Rb2U1Pd3Se6,mp-1192150,4,24
417,Tl1Pb2Cl5,mp-27283,3,32
262563,K2U1Pd3S6,mp-1192306,4,24
418,Pb2N1Cl5,mp-1196936,3,32
419,Dy2Se3,mp-7368,2,20
262559,Rb2U1Pt3Se6,mp-1191426,4,24
423,K3P6S6N7,mp-680247,4,88
262562,Rb2U1Pd3S6,mp-1192260,4,24
426,Ca3As1Br3,mp-27294,3,7
427,Sr2Cu3Cl2O4,mp-547517,4,11
432,Cd1As1,mp-7373,2,16
433,Ca11Sb10,mp-12241,2,42
434,Ca11Bi10,mp-27298,2,42
262576,K3Ni1O2,mp-505153,3,24
262583,Na1Eu1As1S4,mp-1104168,4,14
262588,K2B1C3N3,mp-1205404,4,18
447,Tm1Cl2,mp-27302,2,24
450,La2Ni3,mp-1691,2,10
456,Yb1Al4Mo2,mp-4410,3,7
262602,K1Cd1B3H12,mp-1199830,4,272
459,Al1Pt2,mp-16960,2,24
462,La1C1O1,mp-27311,3,6
262617,U1P2O7,mp-1200695,3,40
262626,Co1Sb2O4,mp-1193389,3,28
484,In1Bi2S4Cl1,mp-559521,4,8
262629,Sr1Mo2Se2O11,mp-1200408,4,32
262630,Mo2Pb1Se2O11,mp-1204412,4,32
492,Gd1Ga1O3,mp-18656,3,20
494,Mg1Se1O3,mp-12271,3,20
655856,K1Te1Au1,mp-3553,3,6
262642,Li2In2Si1S6,mp-1191903,4,22
262643,Li2In2Ge1S6,mp-1191476,4,22
262644,Li2In2Si1Se6,mp-1191817,4,22
262645,Li2In2Ge1Se6,mp-1191200,4,22
262646,Sr5Sn2As6,mp-1194401,3,26
262648,Ce3Zn11,mp-862292,2,14
655886,Er1B3Mo1,mp-5426,3,10
262676,Na2Mg1Sn1,mp-865625,3,8
262681,Cs1Lu7S11,mp-1202825,3,76
655898,Nd4Ge3Rh4,mp-3375,3,22
262683,Cs6Dy21S34Cl1,mp-1197810,4,62
262684,Cs6Ho21S34Cl1,mp-1199243,4,62
262682,Cs1Lu7Se11,mp-1203743,3,76
262687,Cs6Dy21Te34Cl1,mp-1203042,4,62
262688,Cs6Ho21Te34Cl1,mp-1201961,4,62
262690,Mg1Bi4P2O12,mp-1199340,4,152
262691,Zn1Bi4P2O12,mp-1201539,4,304
262722,W2Br5,mp-1197907,2,56
262724,Mg3Tc1H7,mp-864942,3,22
